Market,Pair,Total Quantity,Remaining Quantity,Price Per Unit,Avg Price,Fee Amount,Side,Order Type,Status,Exchnage code,Created At,Updated At
MATICINR,I-MATIC_INR,2.0,2.0,150.1,0.0,0.0,sell,limit_order,cancelled,I,2021-05-30 10:14:55 UTC,2021-05-30 11:27:50 UTC
MATICINR,I-MATIC_INR,2.0,2.0,150.4,0.0,0.0,sell,limit_order,cancelled,I,2021-05-30 09:02:27 UTC,2021-05-30 10:14:22 UTC
ADAINR,I-ADA_INR,3.0,0.0,128.0,128.0,0.384,sell,limit_order,filled,I,2021-05-30 09:59:34 UTC,2021-05-30 10:02:33 UTC
MATICINR,I-MATIC_INR,3.0,0.0,146.3,146.3,0.4389,buy,limit_order,filled,I,2021-05-30 07:49:15 UTC,2021-05-30 08:21:15 UTC
ADAINR,I-ADA_INR,2.0,2.0,128.6,0.0,0.0,sell,limit_order,cancelled,I,2021-05-30 07:44:11 UTC,2021-05-30 07:49:49 UTC
MATICINR,I-MATIC_INR,2.0,0.0,150.1,150.1,0.3002,sell,limit_order,filled,I,2021-05-30 07:47:58 UTC,2021-05-30 07:48:12 UTC
ADAINR,I-ADA_INR,1.0,0.0,108.0,108.0,0.108,buy,limit_order,filled,I,2021-05-29 13:13:16 UTC,2021-05-29 17:47:17 UTC
XRPINR,I-XRP_INR,2.0,0.0,64.0,64.0,0.128,buy,limit_order,filled,I,2021-05-28 11:41:31 UTC,2021-05-29 17:24:13 UTC
BATINR,I-BAT_INR,2.0,0.0,53.0,53.0,0.106,buy,limit_order,filled,I,2021-05-29 09:55:47 UTC,2021-05-29 16:02:26 UTC
DOGEINR,I-DOGE_INR,11.0,11.0,23.1,0.0,0.0,buy,limit_order,cancelled,I,2021-05-29 12:46:22 UTC,2021-05-29 13:12:51 UTC
ADAINR,I-ADA_INR,2.0,0.0,112.0,112.0,0.224,buy,limit_order,filled,I,2021-05-28 16:32:16 UTC,2021-05-29 13:09:16 UTC
ADAINR,I-ADA_INR,1.0,1.0,109.0,0.0,0.0,buy,limit_order,cancelled,I,2021-05-28 11:52:37 UTC,2021-05-29 12:44:47 UTC
ADAINR,I-ADA_INR,1.0,0.0,116.0,116.0,0.116,buy,limit_order,filled,I,2021-05-29 08:05:43 UTC,2021-05-29 09:04:05 UTC
ETHINR,I-ETH_INR,0.0014,0.0014,190000.0,0.0,0.0,buy,limit_order,cancelled,I,2021-05-29 08:43:26 UTC,2021-05-29 08:50:28 UTC
XRPINR,I-XRP_INR,2.0,0.0,69.0,69.0,0.138,buy,limit_order,filled,I,2021-05-29 08:23:38 UTC,2021-05-29 08:44:03 UTC
